OBJECTID,GEOID,ACCESS_,Shape__Area,Shape__Length
2084,421010078002000,High Access,246993.022949219,1989.61324652707
2085,421010078002001,High Access,110726.153503418,1417.91098453525
2086,421010074004008,High Access,122909.576538086,1582.59722199803
2087,421010081021000,High Access,114940.566467285,1543.71216995588
2088,421010081021004,High Access,104933.222473145,1504.84364556404
2089,421010074003003,High Access,134392.164306641,1510.05077417566
2090,421010071024002,High Access,106486.66619873,1448.31872450198
2091,421010073004002,High Access,62517.1647338867,1145.47640779123
2092,421010073004001,High Access,60161.3103637695,1168.24169967422
2093,421010073004014,High Access,94930.3869018555,1408.82133137828
2094,421010073002000,High Access,85614.7218017578,1372.58151810249
2095,421010071023007,High Access,98219.2265625,1419.10259868494
2096,421010071023006,High Access,105513.900817871,1446.14463668109
2097,421010071022004,High Access,118755.128601074,1559.84009943776
2098,421010071011001,High Access,91878.4868164063,1362.19148024911
2099,421010079004003,High Access,153642.317687988,1658.85189892485
2100,421010073004007,Low Access,7838.18109130859,409.205664345261
2101,421010081024005,Low Access,117832.435974121,1572.75823146419
2102,421010081024006,Low Access,115601.690307617,1515.69914203203
2103,421010081011006,High Access,110285.684265137,1513.94129329381
2104,421010078004000,High Access,194753.725708008,1882.45900819618
2105,421010073003002,High Access,111582.01550293,1383.27619565861
2106,421010073002004,High Access,129430.973449707,1517.31827237812
2107,421010073001004,High Access,125369.723144531,1592.21215847802
2108,421010078003005,High Access,130714.707641602,1610.64698732315
2109,421010078004004,High Access,135390.233032227,1520.77983022315
2110,421010074004005,High Access,93596.4633178711,1411.7729367535
2111,421010070001006,High Access,136605.789978027,1563.0250296242
2112,421010078001006,High Access,131141.531677246,1500.80174641637
2113,421010074005009,Low Access,165192.885620117,1678.51164613634
2114,421010080004009,Low Access,116744.396728516,1538.4358204014
2115,421010080003002,Low Access,130409.427185059,1533.61244515939
2116,421010080003005,Low Access,153154.330383301,1609.47745119821
2117,421010080001004,Low Access,157108.817321777,1680.14322235811
2118,421010072006000,High Access,248002.832641602,2579.18532831985
2119,421010072003003,Low Access,58939.9570922852,983.649204023836
2120,421010071025005,Moderate Access,146188.608581543,1588.42894752448
2121,421010071025002,Low Access,117931.252075195,1554.14207479967
2122,421010065004002,High Access,88709.1713867188,1383.80893813906
2123,421010074003002,Low Access,101297.911743164,1498.51331820056
2124,421010074004011,Moderate Access,95144.4039916992,1415.92587362067
2125,421010074005003,High Access,95827.4390869141,1411.43119387593
2126,421010070005000,High Access,85353.8202514648,1326.2704103801
2127,421010073004005,Low Access,94971.9805297852,1370.50886383343
2128,421010072004004,Moderate Access,106250.203186035,1449.62924331968
2129,421010071024007,Low Access,107307.344970703,1457.02347875381
2130,421010071024006,Moderate Access,89039.2532958984,1387.4228764205
2131,421010071024005,Moderate Access,107693.884521484,1456.5985899585
2132,421010071024003,High Access,98536.4530639648,1417.98369482161
2133,421010071024004,High Access,98600.2171630859,1419.71517712499
2134,421010071023002,High Access,90727.4099121094,1390.10589674401
2135,421010081024009,Moderate Access,95448.9631347656,1493.59076859817
2136,421010081013000,High Access,52678.299621582,935.392007733962
2137,421010071012005,High Access,146899.95123291,1668.70771903239
2138,421010079004005,High Access,157862.673828125,1684.09804919467
2139,421010072006001,High Access,2249.69219970703,513.633915938067
2140,421010079001004,High Access,156950.685241699,1679.46069362171
2141,421010073003005,High Access,124819.285705566,1474.20594216727
2142,421010073003004,High Access,108662.928894043,1425.69633566665
2143,421010071013006,High Access,98997.180847168,1418.26403023472
2144,421010071012008,High Access,47138.4729614258,944.866073074851
2145,421010070002002,High Access,200488.120300293,1811.71350667759
2146,421010070002000,High Access,94696.4209594727,1488.99319477621
2147,421010070001001,High Access,87619.3015136719,1372.33034976892
2148,421010078004006,High Access,144684.747131348,1573.26446427247
2149,421010078001007,High Access,7328.05389404297,429.168920175211
2150,421010080004006,Low Access,292383.170227051,2166.61828715824
2151,421010080004010,Low Access,157627.133056641,1683.90062249107
2152,421010080002000,High Access,157645.237365723,1683.79968460603
2153,421010074005001,Low Access,351737.406982422,2533.07019426307
2154,421010080002003,High Access,152661.458312988,1665.66751530716
2155,421010080001003,High Access,157950.869445801,1685.52704319385
2156,421010072001004,High Access,49137.1662597656,913.722867737845
2157,421010081011007,High Access,71452.408996582,1133.93254387383
2158,421010081011003,High Access,120815.22265625,1616.10436849924
2159,421010072001007,Moderate Access,92893.981262207,1317.6272363277
2160,421010072005003,Low Access,108245.900390625,1456.85946120589
2161,421010065006009,Low Access,174451.718811035,1779.09857972694
2162,421010081013010,High Access,103781.610046387,1301.17672788767
2163,421010081011000,Moderate Access,120007.593688965,1612.4556634065
2164,421010074005004,High Access,80682.4505615234,1352.80299842355
2165,421010074005007,Low Access,55977.61328125,1014.90476066202
2166,421010071024000,High Access,107148.895263672,1452.0613697429
2167,421010071021000,Moderate Access,106246.887634277,1446.32688352073
2168,421010073004009,High Access,126204.665344238,1447.44916575277
2169,421010071021003,High Access,79930.1206054688,1355.06510851797
2170,421010081025008,High Access,114304.718383789,1561.48586833417
2171,421010081024004,Low Access,171088.615783691,1755.15616546296
2172,421010079004001,Moderate Access,158063.042480469,1685.39965917285
2173,421010086011008,High Access,222216.6875,1918.60285198754
2174,421010072002003,Moderate Access,294027.744262695,2830.98284732072
2175,421010072003005,Low Access,58115.8107910156,978.526603585359
2176,421010071022007,High Access,108365.505310059,1452.3403773748
2177,421010072002004,Low Access,120928.327941895,1471.35282867166
2178,421010073004012,Moderate Access,283398.860229492,2777.09515197276
2179,421010072002006,Low Access,67332.1737060547,1261.81764818262
2180,421010072004002,Low Access,106541.91998291,1450.02980590981
2181,421010072004003,Low Access,88388.2024536133,1380.96732428644
2182,421010073003003,High Access,227347.865722656,3778.26938144073
2183,421010071021006,High Access,84380.5853271484,1458.86312076806
2184,421010071021005,High Access,109243.16394043,1538.67082438895
2185,421010071025003,Low Access,107378.194519043,1517.35432369921
2186,421010071022006,High Access,84479.2276000977,1369.1029764909
2187,421010071022005,High Access,109380.00604248,1458.10332430266
2188,421010071023001,High Access,105476.609191895,1446.37536330796
2189,421010071012004,High Access,84513.4499511719,1332.50261768031
2190,421010071012003,High Access,99368.4766845703,1392.13578179959
2191,421010079003005,High Access,153024.566833496,1708.27045013401
2192,421010079003004,High Access,138021.741455078,1616.51793039366
2193,421010079002007,High Access,182174.578735352,1809.97117238834
2194,421010073004008,High Access,132948.008911133,1504.53313968169
2195,421010078003000,High Access,144751.906494141,1555.32143609724
2196,421010078003004,High Access,118093.308776855,1503.82158501375
2197,421010071013000,High Access,128375.685058594,1509.79862821908
2198,421010073001001,High Access,128080.189025879,1507.62185932914
2199,421010081021003,High Access,93741.2440185547,1467.50724931785
2200,421010080001005,Moderate Access,162594.830383301,1701.64356564971
2201,421010080002002,High Access,153065.549438477,1667.70939845508
2202,421010081011008,High Access,92729.3578491211,1598.21019621394
2203,421010072005000,Low Access,97454.5830688477,1462.35149781615
2204,421010071025000,Low Access,117442.765930176,1554.13155538077
2205,421010065006013,Moderate Access,138922.380187988,1573.85903240826
2206,421010071013001,High Access,130845.782104492,1517.80472287671
2207,421010070001004,High Access,103497.323669434,1510.96745237887
2208,421010074004003,High Access,96516.7145996094,1421.69915107581
2209,421010074004010,High Access,88614.5803833008,1384.3484319784
2210,421010074003001,Low Access,77316.404296875,1420.64163201804
2211,421010071024001,High Access,88642.1466064453,1378.97453205837
2212,421010080002004,High Access,161683.338256836,1705.66007183022
2213,421010073004000,High Access,124733.198669434,1548.32490821729
2214,421010071021001,High Access,196640.949401855,1789.89520397813
2215,421010073004013,High Access,112359.79296875,1474.4681889694
2216,421010071023000,High Access,177678.024841309,1723.74707918788
2217,421010071023008,High Access,79503.8709106445,1348.0685411703
2218,421010071022001,High Access,106548.29510498,1512.26878998053
2219,421010071013002,High Access,124246.559814453,1514.89714638679
2220,421010071012009,High Access,57805.6381225586,1009.92121529022
2221,421010074003004,Moderate Access,136100.926147461,1522.26286954727
2222,421010074005002,Moderate Access,76281.1786499023,1338.8031896199
2223,421010079002004,High Access,165164.740539551,1718.30787712107
2224,421010079001003,High Access,160231.779968262,1705.33151193267
2225,421010081011001,High Access,164619.387023926,1729.32185476362
2226,421010079002002,High Access,157440.981689453,1682.28019457245
2227,421010078002005,High Access,2095.22406005859,226.690368053507
2228,421010073001003,High Access,123655.483337402,1584.4276944148
2229,421010078004001,High Access,121677.680541992,1493.54175420544
2230,421010078003003,High Access,138233.526916504,1581.23015431778
2231,421010074004002,High Access,115510.10345459,1396.75056993887
2232,421010071013004,High Access,177977.016418457,1721.74558489542
2233,421010074004006,High Access,108849.94543457,1458.03898042977
2234,421010074004001,High Access,112966.860839844,1383.92893383276
2235,421010070001002,High Access,105920.813476563,1444.64054968435
2236,421010078004003,High Access,140846.651855469,1556.37765449581
2237,421010078001005,High Access,113377.435913086,1389.18639301911
2238,421010080003001,Low Access,137834.450439453,1561.19188098648
2239,421010072005006,High Access,59109.0803222656,983.58654006377
2240,421010072006006,High Access,100402.083862305,1497.16908904241
2241,421010072002002,Moderate Access,189953.016235352,2472.66294747235
2242,421010072001005,Moderate Access,58987.6823730469,984.600693508645
2243,421010072001009,Low Access,49305.3672485352,917.599492561471
2244,421010072003002,No Access,107531.363891602,1455.15755541743
2245,421010065006011,Moderate Access,168491.694580078,1744.61177352885
2246,421010071025001,No Access,97158.1150512695,1480.53764441531
2247,421010071025004,Moderate Access,139082.944091797,1575.67871096664
2248,421010065004005,Moderate Access,199136.062988281,2047.16683329673
2249,421010071022008,Moderate Access,138735.76574707,1571.17600529478
2250,421010074003005,Low Access,134343.998535156,1561.170832164
2251,421010074003007,Low Access,113919.163818359,1487.75860675088
2252,421010074005006,Low Access,63004.0439453125,1053.79558029092
2253,421010071021004,High Access,98237.5634155273,1429.35843673959
2254,421010071021007,High Access,108921.83996582,1531.86680946046
2255,421010071022003,High Access,96583.3851928711,1482.20676101395
2256,421010071011002,High Access,73107.9052734375,1286.93403410375
2257,421010071023004,High Access,106748.110473633,1448.67444714914
2258,421010079002005,High Access,162953.793579102,1704.56264057066
2259,421010081025003,High Access,99671.2539672852,1510.04952276759
2260,421010081024002,Low Access,145225.79119873,1652.03360498117
2261,421010081025000,Low Access,68915.6632080078,1104.24604247609
2262,421010080004001,Low Access,104305.762634277,1419.90632838678
2263,421010080004007,Low Access,110799.637207031,1516.78729802275
2264,421010079004000,High Access,155454.355834961,1664.99036135205
2265,421010081025007,Low Access,50614.4739379883,907.983990521048
2266,421010081025005,Low Access,60488.0814819336,1051.85822021201
2267,421010081024000,Low Access,102858.601745605,1504.44223107893
2268,421010079001001,High Access,156144.710327148,1677.45107354391
2269,421010081024001,Low Access,101802.327392578,1499.96863431491
2270,421010080004000,Moderate Access,107248.36126709,1510.93253973048
2271,421010080004005,Low Access,96558.634765625,1406.9895953081
2272,421010085003006,High Access,107136.447753906,1503.44092061934
2273,421010080001001,High Access,316737.448730469,2246.98456551777
2274,421010081025004,Low Access,43491.3934936523,851.464709147218
2275,421010086011005,High Access,108907.737304688,1339.76363587447
2276,421010079001002,High Access,160238.159057617,1702.8981646966
2277,421010080004002,Low Access,85856.6333618164,1366.30634198558
2278,421010080001000,Moderate Access,156555.012084961,1677.01837356476
2279,421010080001002,Moderate Access,157049.208740234,1680.73206763137
2280,421010086011004,Moderate Access,109954.830505371,1347.19625306759
2281,421010086011006,High Access,104502.651855469,1316.59648489044
2282,421010081025006,Low Access,69963.5256958008,1101.20299628819
2283,421010081022004,Moderate Access,118003.109802246,1554.37128845089
2284,421010080004003,Moderate Access,97924.2784423828,1468.78010755821
2285,421010086012005,High Access,221601.795837402,1913.35093658445
2286,421010081023003,High Access,96993.1458740234,1480.42339701731
2287,421010081022005,Low Access,96711.0447998047,1479.48962370543
2288,421010079004002,High Access,157667.701965332,1684.5910029725
2289,421010086011007,High Access,110622.358032227,1343.98588944072
2290,421010081024003,Moderate Access,164389.959838867,1729.34164959864
2291,421010081023004,High Access,111159.644836426,1530.72506429377
2292,421010081022000,Moderate Access,112270.100830078,1534.66901214782
2293,421010080004004,Low Access,109064.389038086,1506.7846839015
2294,421010084003005,High Access,90467.1060791016,1304.00789596877
2295,421010103001007,Low Access,139992.910217285,1564.56738833743
2296,421010105002011,Moderate Access,110261.552368164,1335.99084315426
2297,421010102001001,High Access,160173.020935059,1826.64347956118
2298,421010102003002,High Access,42712.6508178711,945.022418955003
2299,421010102003006,High Access,88412.7027587891,1407.46177685548
2300,421010102003010,High Access,92746.0062866211,1424.25928808549
2301,421010103001003,High Access,148160.665039063,1546.55149443795
2302,421010102001004,High Access,62740.4112548828,1141.18355692661
2303,421010102001000,High Access,153251.469848633,1811.5717019151
2304,421010102003005,High Access,111065.469787598,1491.20745561173
2305,421010103001002,Moderate Access,74243.0059204102,1124.79169758791
2306,421010103001000,Moderate Access,140128.768920898,1504.480616033
2307,421010102001002,High Access,80501.549987793,1226.58476379939
2308,421010105002024,Moderate Access,102786.481628418,1303.20093540927
2309,421010102001005,High Access,78412.8955688477,1216.45625373821
2310,421010102003008,High Access,101568.063598633,1278.04385366165
2311,421010105002005,Moderate Access,117310.610900879,1773.43749573361
2312,421010102003003,High Access,53219.635559082,1003.9079166594
2313,421010103001001,Moderate Access,75115.576965332,1130.00739299179
2314,421010103001005,Moderate Access,145465.355651855,1535.01429520657
2315,421010104001001,Low Access,252662.411437988,2010.70717535174
2316,421010104002004,Low Access,49646.6796875,899.785208531555
2317,421010105002023,Moderate Access,74901.4263305664,1129.07344759819
2318,421010102001003,High Access,63013.7671508789,1142.65981472717
2319,421010102003004,High Access,78479.9010620117,1371.02542790567
2320,421010102003000,Moderate Access,53493.8496704102,1006.1868336965
2321,421010104001000,Low Access,66498.7810058594,1273.68865490116
2322,421010104002002,Low Access,91530.6131591797,1374.26438495965
2323,421010104002001,Low Access,333789.968322754,2333.02917311507
2324,421010105002022,Moderate Access,91810.252746582,1403.53625841419
2325,421010105002006,Moderate Access,81778.5344848633,1481.14136539556
2326,421010102003001,High Access,42479.1838378906,943.274448624536
2327,421010102003007,High Access,186469.697753906,1775.98904808779
2328,421010103001014,High Access,215621.893249512,1861.45507721665
2329,421010111002007,Moderate Access,97443.0529785156,1705.69648476335
2330,421010111002006,Moderate Access,380699.029052734,2525.73874200419
2331,421010104002000,Low Access,96522.6374511719,1393.60270105651
2332,421010105002021,Moderate Access,95282.1541748047,1461.82623841649
2333,421010095001000,High Access,116921.202758789,1713.15862590756
2334,421010102003009,High Access,59636.1763305664,995.418347085012
2335,421010103001004,Moderate Access,147064.419433594,1539.11079980811
2336,421010103001006,Moderate Access,186008.760498047,1746.40720656801
2337,421010103002012,High Access,26319.1200561523,883.132116275218
2338,421010093003006,High Access,164403.874145508,1722.66782560378
2339,421010104003006,Low Access,101584.909240723,1420.17737553611
2340,421010093001001,High Access,131257.485839844,1491.7426524172
2341,421010086012003,High Access,125495.656494141,1456.97018945389
2342,421010103001012,Moderate Access,103345.438232422,1652.72426670491
2343,421010104001007,No Access,10603.1211547852,444.648901712174
2344,421010103002008,High Access,170588.873535156,2262.54269581114
2345,421010105003011,No Access,55765.7104492188,1183.74562775329
2346,421010084004010,High Access,160687.766296387,1719.39103900817
2347,421010084001003,High Access,75599.4768066406,1233.24913799828
2348,421010084002002,High Access,83904.9387817383,1241.8248660268
2349,421010085006005,High Access,131427.08984375,1653.14741680051
2350,421010085005002,High Access,125787.618286133,1632.18267884911
2351,421010084001007,High Access,72612.5672607422,1086.72184403906
2352,421010084001008,High Access,62449.3724365234,1024.78390029322
2353,421010094004010,High Access,37237.4041748047,828.063326027131
2354,421010094001000,High Access,150899.772277832,2139.76178628244
2355,421010094001004,High Access,54277.1787109375,962.014954280922
2356,421010094001010,High Access,88989.7081298828,1227.99275740718
2357,421010103001013,High Access,68597.5590820313,1169.97492098239
2358,421010094002012,High Access,86451.3997192383,1462.46382789602
2359,421010085007003,High Access,52804.9190063477,947.759507545581
2360,421010093005009,High Access,85434.5544433594,1419.63819092343
2361,421010094004003,High Access,74085.3909301758,1089.24650259769
2362,421010085001003,High Access,108335.631469727,1507.97745813888
2363,421010085002002,High Access,121280.871887207,1559.70327629385
2364,421010085002003,High Access,124885.895690918,1567.62869389035
2365,421010085003004,High Access,219322.608764648,1899.20692315333
2366,421010085003003,High Access,128875.163696289,1582.04720140627
2367,421010104003017,Moderate Access,135474.996643066,1607.18403345992
2368,421010103002011,High Access,79733.5077514648,1268.20281508592
2369,421010104001006,Low Access,82229.5917358398,1315.78383792729
2370,421010093003005,High Access,162898.758605957,1723.39131595569
2371,421010093002003,High Access,79826.5735473633,1407.18632806191
2372,421010093002002,High Access,77301.6503295898,1397.30908617667
2373,421010104003003,Low Access,96467.1434936523,1394.83923925184
2374,421010104003008,Low Access,49158.8580322266,971.547119066402
2375,421010104003013,Low Access,99868.59375,1413.73431012335
2376,421010105002026,Moderate Access,50177.8549804688,911.312494485977
2377,421010093005003,High Access,142225.114318848,1620.49596215812
2378,421010093005007,High Access,96568.7313232422,1464.70492441899
2379,421010094002006,High Access,92881.3684082031,1453.08979103434
2380,421010103002006,High Access,123742.601745605,1530.40460667102
2381,421010085007002,High Access,51551.3639526367,943.004165625598
2382,421010093004001,High Access,88853.1650390625,1429.48106119857
2383,421010093004000,High Access,120104.403381348,1567.10939058851
2384,421010103002010,High Access,74858.5473632813,1214.59738908076
2385,421010103001008,No Access,141274.294616699,1749.35228266428
2386,421010093005000,High Access,122999.098876953,1699.09168599543
2387,421010104003009,Low Access,106289.836669922,1696.33475611309
2388,421010104003016,Moderate Access,75261.7609863281,1155.18155944384
2389,421010093001002,High Access,62145.8140869141,1005.59456649419
2390,421010093003003,High Access,80044.3753662109,1437.52026968192
2391,421010093003000,High Access,83964.6087036133,1474.64694606824
2392,421010104003001,Low Access,43235.9487915039,849.763548077853
2393,421010105002028,Moderate Access,67650.3754272461,1079.20485593721
2394,421010105001003,Moderate Access,141890.348449707,1512.59773241359
2395,421010104003005,Low Access,216809.033203125,1875.49756619265
2396,421010104003007,Low Access,101881.773132324,1450.27954331359
2397,421010105003012,No Access,45545.1076049805,950.962974115536
2398,421010084002001,High Access,160079.114868164,1701.67988554169
2399,421010085004002,High Access,122564.091430664,1624.39930504144
2400,421010085007015,High Access,49938.3681640625,919.625618937224
2401,421010085006007,High Access,120284.292236328,1550.58119393823
2402,421010094001009,High Access,30450.5790405273,776.072118047857
2403,421010093004007,High Access,113024.583251953,1396.05904905379
2404,421010085005006,High Access,129385.297180176,1583.01973271368
2405,421010105001011,Low Access,140538.880859375,1506.55713368773
2406,421010094001003,High Access,30261.1337280273,784.906891856097
2407,421010105001009,Low Access,84367.7836303711,1163.04184826934
2408,421010086022001,High Access,155590.503540039,1666.80288815573
2409,421010086021007,High Access,58605.2417602539,977.031262132791
2410,421010086012004,High Access,127204.743713379,1465.44594933821
2411,421010084005001,High Access,141323.35949707,1503.20278810232
2412,421010094004008,High Access,117074.173583984,1394.07589815659
2413,421010102002010,High Access,156603.949035645,1674.46699952318
2414,421010102002013,High Access,145922.499633789,1672.31953060655
2415,421010102002005,High Access,170316.807922363,1724.94400725132
2416,421010094004001,High Access,75816.9416503906,1101.08694672872
2417,421010094004009,High Access,116947.647949219,1396.50477344878
2418,421010094004004,High Access,37375.8609619141,827.173459562154
2419,421010094004014,High Access,83154.6116333008,1433.60831901352
2420,421010102002003,High Access,191729.835449219,1871.47842326907
2421,421010094004011,High Access,77022.0506591797,1411.18479149337
2422,421010094002011,High Access,512669.814941406,2921.57340213896
2423,421010102002001,High Access,85723.1706542969,1179.63243272923
2424,421010102002015,High Access,78556.151184082,1120.56815015765
2425,421010094002009,High Access,52422.8610839844,969.293782079961
2426,421010094002013,High Access,97181.9153442383,1492.39702397759
2427,421010093005002,High Access,40681.7230224609,978.605072810147
2428,421010103002013,High Access,4133.08837890625,306.166510617395
2429,421010093005001,High Access,147709.307556152,1792.75451247678
2430,421010093005011,High Access,110781.461853027,1542.47056996493
2431,421010085001000,High Access,159682.453369141,1692.11476516465
2432,421010086023001,High Access,157540.188232422,1682.91275931859
2433,421010086021008,High Access,93288.6317138672,1228.23467265972
2434,421010086022003,High Access,114058.462890625,1383.81413657654
2435,421010086022002,High Access,118070.158691406,1402.07714886307
2436,421010086011001,High Access,249492.056884766,2008.49020851979
2437,421010086022005,High Access,118350.849731445,1404.36750721293
2438,421010094001001,High Access,17064.065246582,589.789141080404
2439,421010094001007,High Access,89429.1444091797,1211.18104590303
2440,421010102002014,High Access,54321.3270263672,1013.72684444638
2441,421010105001001,Moderate Access,54250.8170166016,1082.25490117928
2442,421010104004000,Low Access,106901.487792969,1452.4490968893
2443,421010105001002,Moderate Access,111163.757873535,1361.85551421862
2444,421010084001002,High Access,88331.9644775391,1297.08943318839
2445,421010084001001,High Access,69021.0040283203,1067.09305083412
2446,421010084001005,High Access,59724.3258056641,982.891620660659
2447,421010084001010,High Access,51459.6565551758,921.223830967336
2448,421010085006002,High Access,43272.3046875,870.11732873993
2449,421010085007001,High Access,94080.3973999023,1222.38018263492
2450,421010093004002,High Access,106159.129333496,1499.26950080846
2451,421010103001010,Low Access,57434.5277099609,1002.08398276456
2452,421010093001005,High Access,99078.2777709961,1459.53374885013
2453,421010093001004,High Access,92261.0530395508,1427.93886961586
2454,421010094003004,High Access,126446.532226563,1561.46090330503
2455,421010105001005,Moderate Access,45408.6112060547,921.042591337912
2456,421010104004005,Low Access,72395.9194946289,1397.83627409455
2457,421010095001005,High Access,69534.1763305664,1068.61574235909
2458,421010102002007,High Access,171164.06237793,1726.76937684444
2459,421010094004000,High Access,320256.806091309,2264.26948136392
2460,421010094004012,High Access,85891.0468139648,1173.36431204808
2461,421010094001005,High Access,50224.1604614258,989.939811013444
2462,421010094003001,High Access,97007.5271606445,1496.99586616566
2463,421010102002000,High Access,112669.338012695,1497.43360481755
2464,421010085007005,High Access,34837.3522949219,813.509040522529
2465,421010103002003,High Access,66998.551940918,1166.69127888091
2466,421010093005004,High Access,148555.468688965,1755.1874692275
2467,421010085007012,High Access,157682.539611816,1684.20519207757
2468,421010085001002,High Access,90298.0749511719,1445.92504267801
2469,421010085006000,High Access,157643.331481934,1683.21975654259
2470,421010085001006,High Access,157329.578125,1681.87172485658
2471,421010085002005,High Access,114879.577453613,1528.6518429233
2472,421010104003012,Low Access,108538.649780273,1447.50237959924
2473,421010104004003,Low Access,101904.119262695,1433.07914676212
2474,421010084003000,High Access,86106.0689697266,1251.853840291
2475,421010084001004,High Access,93059.6049804688,1311.42368576376
2476,421010085007007,High Access,115551.730285645,1390.09090803033
2477,421010084001006,High Access,62745.2312011719,1006.22466931392
2478,421010085005004,High Access,112569.387756348,1462.23868773352
2479,421010085004003,High Access,117405.371520996,1603.87498190592
2480,421010085007009,High Access,49450.1999511719,909.613137500381
2481,421010085006003,High Access,50289.6708984375,918.502061856418
2482,421010085007014,High Access,43256.1705322266,867.626944878718
2483,421010085007013,High Access,50279.6761474609,919.608343092814
